============================================================================= STRATEGY SUMMARY =============================================================================
|                                 Strategy |   Buys |   Avg Profit % |   Cum Profit % |   Tot Profit USDT |   Tot Profit % |    Avg Duration |   Wins |   Draws |   Losses |
|------------------------------------------+--------+----------------+----------------+-------------------+----------------+-----------------+--------+---------+----------|
|                              ADXMomentum |    503 |           0.09 |          43.57 |       52.33808403 |           5.45 |        12:13:00 |    376 |       0 |      127 |
|                                  AdxSmas |   1956 |          -0.12 |        -228.71 |     -274.72775837 |         -28.59 |         2:52:00 |    695 |       0 |     1261 |
|                     ASDTSRockwellTrading |   6752 |          -0.20 |       -1357.68 |    -1630.85011287 |        -169.71 |         0:38:00 |   1508 |       0 |     5244 |
|                          AverageStrategy |   3326 |          -0.23 |        -752.80 |     -904.26281696 |         -94.10 |         1:26:00 |    615 |       0 |     2711 |
|                              AwesomeMacd |   1061 |          -0.09 |         -94.21 |     -113.16005000 |         -11.78 |         5:01:00 |    255 |       0 |      806 |
|                                 BbandRsi |    458 |           0.17 |          76.30 |       91.65520691 |           9.54 |        11:05:00 |    294 |       0 |      164 |
|                                  BinHV27 |    432 |           0.20 |          85.48 |      102.67514615 |          10.68 |         4:36:00 |    267 |       0 |      165 |
|                                  BinHV45 |    160 |           0.36 |          58.32 |       70.05705589 |           7.29 |         1:32:00 |    138 |       0 |       22 |
|                              CCIStrategy |    133 |           0.65 |          86.82 |      104.28978309 |          10.85 |        16:57:00 |     47 |       0 |       86 |
|                             ClucMay72018 |     92 |           0.33 |          30.46 |       36.59023640 |           3.81 |         0:24:00 |     76 |       0 |       16 |
|                                CMCWinner |    617 |          -0.11 |         -66.23 |      -79.55023912 |          -8.28 |         2:24:00 |    301 |     253 |       63 |
|                          CofiBitStrategy |   1994 |          -0.15 |        -303.92 |     -365.06909427 |         -37.99 |         0:25:00 |    746 |       0 |     1248 |
|                      CombinedBinHAndCluc |    167 |           0.61 |         102.10 |      122.63976269 |          12.76 |         1:10:00 |    119 |       0 |       48 |
|                      DoesNothingStrategy |      0 |         nan    |           0.00 |        0.00000000 |           0.00 |            0:00 |      0 |       0 |        0 |
|                              EMASkipPump |   1645 |          -0.11 |        -175.12 |     -210.35991088 |         -21.89 |         3:10:00 |    954 |       0 |      691 |
| Freqtrade_backtest_validation_freqtrade1 |   3560 |          -0.23 |        -806.48 |     -968.74896309 |        -100.81 |         1:30:00 |    840 |       0 |     2720 |
|                        InformativeSample |      0 |         nan    |           0.00 |        0.00000000 |           0.00 |            0:00 |      0 |       0 |        0 |
|                                   Low_BB |     29 |          -0.04 |          -1.09 |       -1.30981742 |          -0.14 | 1 day, 23:24:00 |      6 |       0 |       23 |
|                     MACDStrategy_crossed |    182 |           0.61 |         111.31 |      133.70864409 |          13.91 |  1 day, 3:37:00 |    169 |       0 |       13 |
|                             MACDStrategy |    643 |           0.13 |          84.27 |      101.22761215 |          10.53 |         8:34:00 |    480 |       0 |      163 |
|                                 MultiRSI |   1599 |          -0.15 |        -239.84 |     -288.08995985 |         -29.98 |         1:49:00 |    948 |       0 |      651 |
|                                  Quickie |    187 |           0.74 |         138.87 |      166.80762386 |          17.36 |  1 day, 7:58:00 |    177 |       0 |       10 |
|                ReinforcedAverageStrategy |   2341 |          -0.22 |        -515.75 |     -619.52210437 |         -64.47 |         1:36:00 |    464 |       0 |     1877 |
|                        ReinforcedQuickie |    720 |          -0.09 |         -67.88 |      -81.53798794 |          -8.49 |         6:06:00 |    491 |       0 |      229 |
|                    ReinforcedSmoothScalp |    203 |          -0.25 |         -50.10 |      -60.17984487 |          -6.26 |         2:14:00 |    115 |       1 |       87 |
|                           SampleStrategy |    277 |           0.26 |          71.47 |       85.84597039 |           8.93 |        19:50:00 |    249 |       0 |       28 |
|                                    Scalp |   2029 |          -0.16 |        -320.72 |     -385.24794836 |         -40.09 |         0:24:00 |    788 |       0 |     1241 |
|                                   Simple |    203 |          -0.26 |         -51.77 |      -62.18611668 |          -6.47 |  1 day, 7:22:00 |    155 |       0 |       48 |
|                           SmoothOperator |    275 |           0.39 |         107.02 |      128.55384454 |          13.38 |         9:37:00 |    184 |       0 |       91 |
|                              SmoothScalp |    372 |          -0.08 |         -30.16 |      -36.22308753 |          -3.77 |         2:35:00 |    235 |       0 |      137 |
|                              Strategy001 |    258 |           0.16 |          42.41 |       50.93773980 |           5.30 |        23:36:00 |    227 |       0 |       31 |
|                              Strategy002 |     97 |           0.27 |          26.42 |       31.74115002 |           3.30 |         3:56:00 |     68 |       0 |       29 |
|                              Strategy003 |    260 |          -0.19 |         -49.99 |      -60.04472994 |          -6.25 |         4:26:00 |    159 |       0 |      101 |
|                              Strategy004 |    282 |          -0.14 |         -40.23 |      -48.32142991 |          -5.03 |         3:38:00 |    185 |       0 |       97 |
|                              Strategy005 |   1680 |          -0.07 |        -114.99 |     -138.12930191 |         -14.37 |         1:19:00 |    906 |       0 |      774 |
|                     TDSequentialStrategy |    931 |          -0.20 |        -190.67 |     -229.02745578 |         -23.83 |         5:21:00 |    513 |       0 |      418 |
|                 TechnicalExampleStrategy |    732 |          -0.14 |        -103.85 |     -124.75029981 |         -12.98 |         8:41:00 |    498 |       0 |      234 |
|                          InitialStrategy |    364 |           0.42 |         152.28 |      182.91448473 |          19.03 |        16:53:00 |    168 |       0 |      196 |
============================================================================================================================================================================
